49.461	49.449	49.422	49.504	49.504	49.488	49.508	49.57	49.574	49.586	49.586	49.574	49.574	49.586	49.664	49.664	49.652	49.668	49.676	49.664	49.746	49.75	49.738	49.738	49.746	49.668	49.656	49.664	49.676	49.676	49.668	49.668	49.68	49.664	49.586	49.602	49.59	49.586	49.586	49.59	49.582	49.586	49.582	49.598	49.582	49.664	49.664	49.664	49.656	49.664	49.676	49.668	49.668	49.668	49.664	49.668	49.668	49.652	49.668	49.668
50.762	50.75	50.84	50.836	50.836	50.844	50.844	50.84	50.844	50.852	50.855	50.852	50.852	50.844	50.93	50.93	50.922	50.965	50.965	51.012	51.012	51.012	51.02	51.004	50.992	51.012	51	50.984	50.977	50.934	50.937	50.934	50.84	50.855	50.84	50.836	50.844	50.84	50.844	50.84	50.844	50.855	50.844	50.852	50.937	50.937	50.922	50.934	50.937	50.937	50.934	50.965	50.945	51	50.957	50.961	51.004	50.984	50.988	50.961
52.957	53.035	53.035	53.023	53.043	53.051	53.039	53.039	53.043	53.035	53.027	52.961	52.961	53.051	53.035	53.039	53.039	53.039	53.043	53.027	53.027	53.066	53.062	53.078	53.027	53.027	53.043	53.039	53.055	53.039	53.023	53.043	53.043	53.043	52.945	52.945	52.957	52.945	52.945	52.949	52.945	52.945	52.941	52.957	52.945	52.969	52.949	52.957	52.941	52.941	52.945	52.949	52.957	52.949	52.961	52.941	52.945	52.961	52.957	52.949
53.457	53.457	53.461	53.461	53.461	53.453	53.453	53.375	53.375	53.363	53.363	53.379	53.375	53.379	53.457	53.469	53.457	53.445	53.496	53.508	53.496	53.508	53.512	53.5	53.488	53.508	53.496	53.457	53.445	53.457	53.457	53.453	53.461	53.469	53.367	53.375	53.379	53.379	53.387	53.387	53.367	53.379	53.375	53.367	53.379	53.461	53.453	53.457	53.469	53.484	53.457	53.469	53.461	53.473	53.469	53.484	53.469	53.48	53.48	53.469
53.871	53.887	53.961	53.961	53.957	53.961	53.961	53.969	53.969	53.969	53.953	53.953	53.957	53.973	53.973	53.961	53.969	53.961	53.961	54.055	54.051	54.051	54.039	54.039	54.051	54.047	54.047	53.973	53.969	54	53.973	53.961	53.973	53.961	53.973	53.891	53.887	53.906	53.887	53.898	53.898	53.879	53.891	53.969	53.961	53.969	53.98	53.973	53.969	53.961	53.98	53.973	53.969	53.969	53.973	53.98	53.98	53.969	53.969	53.957
54.465	54.453	54.453	54.469	54.469	54.453	54.457	54.473	54.465	54.465	54.371	54.379	54.379	54.371	54.371	54.457	54.453	54.469	54.469	54.547	54.539	54.547	54.578	54.562	54.562	54.562	54.551	54.535	54.539	54.457	54.469	54.473	54.414	54.375	54.387	54.387	54.387	54.379	54.379	54.379	54.387	54.371	54.371	54.375	54.363	54.371	54.371	54.371	54.375	54.371	54.363	54.398	54.379	54.371	54.363	54.387	54.352	54.453	54.469	54.465
54.875	54.871	54.863	54.863	54.875	54.863	54.871	54.887	54.898	54.891	54.902	54.898	54.965	54.973	54.969	54.969	54.996	55.008	54.973	55.02	55.02	55.059	55.062	55.023	55.012	54.98	55.008	54.953	54.953	54.965	54.965	54.887	54.887	54.891	54.891	54.875	54.797	54.809	54.805	54.82	54.809	54.816	54.797	54.82	54.797	54.816	54.883	54.902	54.91	54.91	54.898	54.805	54.816	54.789	54.797	54.797	54.805	54.809	54.82	54.809
55.223	55.227	55.227	55.223	55.215	55.234	55.223	55.227	55.234	55.227	55.215	55.227	55.227	55.234	55.227	55.227	55.238	55.309	55.316	55.289	55.305	55.305	55.309	55.305	55.309	55.316	55.238	55.223	55.223	55.227	55.234	55.227	55.234	55.227	55.242	55.227	55.227	55.145	55.133	55.141	55.156	55.145	55.145	55.141	55.145	55.133	55.141	55.129	55.141	55.148	55.129	55.148	55.148	55.145	55.141	55.148	55.242	55.234	55.234	55.234
55.234	55.227	55.234	55.215	55.227	55.227	55.234	55.227	55.234	55.234	55.234	55.215	55.227	55.223	55.223	55.227	55.328	55.309	55.309	55.402	55.398	55.383	55.391	55.387	55.398	55.305	55.305	55.301	55.316	55.305	55.223	55.234	55.223	55.238	55.227	55.223	55.215	55.145	55.129	55.141	55.133	55.133	55.148	55.156	55.141	55.145	55.133	55.133	55.145	55.195	55.227	55.227	55.211	55.227	55.215	55.133	55.215	55.223	55.234	55.234
55.223	55.223	55.215	55.223	55.223	55.207	55.211	55.227	55.227	55.227	55.215	55.223	55.215	55.223	55.316	55.309	55.309	55.293	55.305	55.398	55.387	55.387	55.391	55.391	55.375	55.305	55.305	55.305	55.227	55.215	55.227	55.227	55.234	55.234	55.227	55.215	55.145	55.141	55.145	55.145	55.145	55.227	55.234	55.223	55.215	55.223	55.223	55.223	55.215	55.227	55.234	55.238	55.223	55.211	55.227	55.227	55.227	55.223	55.223	55.238
